# coding: utf-8
# 小鹤音形用户词库（与系统词条重码时居后）
# 该文件以UTF-8编码保存
# 编码格式：字词+Tab符+编码（用户词库本身有重码则还需后面+Tab符+权重，权重大者居前，权重数字随意）
 
#    === 强调一下 === 
# 
#   词条和编码之间的不是空格，而是Tab符，如果你不知道，就复制下面编码中的空白处
#   或者按住键盘 G 键，切换到功能键盘，使用上面的Tab键
# 
#    ================
# 
# 如两个用户词重码，则需加权重排序，权重大者居前，如下：
#
# 同文	tw	90
# 提问	tw	30
#
# 如只加一个用户词，无需权重，如下（如想置于系统词“台湾”前，请把词条放到flypy_top文件内）：
# 
# 同文	tw
#    ================
#
# 虽然文本码表编辑较为方便，但不适合导入大量条目

#用户词库，下一行后开始添加。切换方案或部署后生效
# no comment
瘁	cvbu
advance	advance
advanced	advanced
advancement	advancement
advancing	advancing
advantage	advantage
advantaged	advantaged
advantageous	advantageous
advent	advent
adventitious	adventitious
adventure	adventure
adventurer	adventurer
adventuresome	adventuresome
adventurism	adventurism
adventurous	adventurous
adverb	adverb
adversarial	adversarial
adversary	adversary
adverse	adverse
adversity	adversity
advert	advert
advertise	advertise
advertisement	advertisement
advertiser	advertiser
advertising	advertising
advice	advice
advisable	advisable
advise	advise
advisedly	advisedly
adviser	adviser
advisory	advisory
advocacy	advocacy
advocate	advocate
adze	adze
aegis	aegis
aeon	aeon
aerate	aerate
aerial	aerial
aerie	aerie
aerobatics	aerobatics
aerobics	aerobics
aerodrome	aerodrome
aerodynamics	aerodynamics
aerogramme	aerogramme
aeronautics	aeronautics
aeroplane	aeroplane
aerosol	aerosol
aerospace	aerospace
aesthete	aesthete
aesthetic	aesthetic
aetiology	aetiology
afar	afar
affable	affable
affair	affair
affect	affect
affectation	affectation
affected	affected
affecting	affecting
affection	affection
affectionate	affectionate
affidavit	affidavit
affiliate	affiliate
affiliated	affiliated
affiliation	affiliation
affinity	affinity
affirm	affirm
affirmative	affirmative
affix	affix
afflict	afflict
affliction
affluent	affluent
afford	afford
afforestation	afforestation
affray	affray
affront	affront
aficionado	aficionado
afield	afield
aflame	aflame
afloat	afloat
afoot	afoot
aforementioned	aforementioned
aforethought	aforethought
afoul	afoul
afraid	afraid
afresh	afresh
African	African
Afrikaans	Afrikaans
Afrikaner	Afrikaner
Afro	Afro
aft	aft
after	after
afterbirth	afterbirth
aftercare	aftercare
afterglow	afterglow
afterlife	afterlife
aftermath	aftermath
afternoon	afternoon
afternoons	afternoons
afters	afters
aftershave	aftershave
aftershock	aftershock
aftertaste	aftertaste
afterthought	afterthought
afterwards	afterwards
again	again
against	against
agape	agape
agate	agate
age	age
aged	aged
ageing	ageing
ageism	ageism
ageless	ageless
agency	agency
agenda	agenda
agent	agent
agglomeration	agglomeration
aggrandizement	aggrandizement
aggravate	aggravate
aggravated	aggravated
aggregate	aggregate
aggression	aggression
aggressive	aggressive
aggressor	aggressor
aggrieved	aggrieved
aggro	aggro
aghast	aghast
agile	agile
aging	aging
agism	agism
agitate	agitate
agitated	agitated
agitation	agitation
agitator	agitator
agitprop	agitprop
aglow	aglow
AGM	AGM
agnostic	agnostic
ago	ago
agog	agog
agonize	agonize
agonized	agonized
agonizing	agonizing
agonizingly	agonizingly
agony	agony
agoraphobia	agoraphobia
agoraphobic	agoraphobic
agrarian	agrarian
agree	agree
agreeable	agreeable
agreeably	agreeably
agreement	agreement
agribusiness	agribusiness
agriculturalist	agriculturalist
agriculture	agriculture
agronomist	agronomist
aground	aground
ague	ague
ah	ah
aha	aha
ahchoo	ahchoo
ahead	ahead
ahem	ahem
ahoy	ahoy
AI	AI
aid	aid
aide	aide
Aids	Aids
ail	ail
aileron	aileron
ailing	ailing
ailment	ailment
aim	aim
aimless	aimless
air	air
airbase	airbase
airborne	airborne
airbrush	airbrush
Airbus	Airbus
aircraft	aircraft
aircraftman	aircraftman
aircrew	aircrew
airdrome	airdrome
airfield	airfield
airhead	airhead
airily	airily
airing	airing
airless	airless
airlift	airlift
airline	airline
airliner	airliner
airlock	airlock
airmail	airmail
airman	airman
airplane	airplane
airport	airport
airship	airship
airspace	airspace
airstrip	airstrip
airtight	airtight
airtime	airtime
airwaves	airwaves
airway	airway
airworthy	airworthy
airy	airy
aisle	aisle
aitch	aitch
ajar	ajar
aka	aka
akimbo	akimbo
akin	akin
alabaster	alabaster
alacrity	alacrity
alarm	alarm
alarmed	alarmed
alarming	alarming
alarmist	alarmist
alas	alas
albatross	albatross
albeit	albeit
albinism	albinism
albino	albino
album	album
albumen	albumen
alchemist	alchemist
alchemy	alchemy
alcohol	alcohol
alcoholic	alcoholic
alcoholism	alcoholism
alcopop	alcopop
alcove	alcove
alder	alder
alderman	alderman
ale	ale
alec	alec
aleck	aleck
alehouse	alehouse
alert	alert
alfalfa	alfalfa
alfresco	alfresco
algae	algae
algebra	algebra
algorithm	algorithm
alias	alias
alibi	alibi
alien	alien
alienate	alienate
alight	alight
align	align
alignment	alignment
alike	alike
alimony	alimony
alive	alive
alkali	alkali
alkaline	alkaline
alkaloid	alkaloid
all	all
Allah	Allah
allay	allay
allegation	allegation
allege	allege
allegiance	allegiance
allegory	allegory
allegro	allegro
alleluia	alleluia
allergic	allergic
allergy	allergy
alleviate	alleviate
alley	alley
alliance	alliance
allied	allied
alligator	alligator
alliteration	alliteration
allocate	allocate
allocation	allocation
allot	allot
allotment	allotment
allow	allow
allowable	allowable
allowance	allowance
alloy	alloy
allspice	allspice
allude	allude
allure	allure
alluring	alluring
allusion	allusion
allusive	allusive
alluvial	alluvial
ally	ally
almanac	almanac
almighty	almighty
almond	almond
almoner	almoner
almost	almost
alms	alms
almshouse	almshouse
aloe	aloe
aloft	aloft
alone	alone
along	along
alongside	alongside
aloof	aloof
aloud	aloud
alpaca	alpaca
alpha	alpha
alphabet	alphabet
alphabetical	alphabetical
alphabetize	alphabetize
alpine	alpine
already	already
alright	alright
Alsatian	Alsatian
also	also
altar	altar
alter	alter
alteration	alteration
altercation	altercation
alternate	alternate
alternative	alternative
alternatively	alternatively
alternator	alternator
although	although
altimeter	altimeter
altitude	altitude
alto	alto
altogether	altogether
altruism	altruism
altruistic	altruistic
aluminium	aluminium
alumna	alumna
alumni	alumni
alumnus	alumnus
alveolar	alveolar
always	always
AM	AM
am	am
amalgam	amalgam
amalgamate	amalgamate
amass	amass
amateur	amateur
amateurish	amateurish
amaze	amaze
amazed	amazed
amazement	amazement
amazing	amazing
Amazon	Amazon
ambassador	ambassador
amber	amber
ambidextrous	ambidextrous
ambience	ambience
ambient	ambient
