# coding: utf-8
# 小鹤音形用户词库（与系统词条重码时居后）
# 该文件以UTF-8编码保存
# 编码格式：字词+Tab符+编码（用户词库本身有重码则还需后面+Tab符+权重，权重大者居前，权重数字随意）
 
#    === 强调一下 === 
# 
#   词条和编码之间的不是空格，而是Tab符，如果你不知道，就复制下面编码中的空白处
#   或者按住键盘 G 键，切换到功能键盘，使用上面的Tab键
# 
#    ================
# 
# 如两个用户词重码，则需加权重排序，权重大者居前，如下：
#
# 同文	tw	90
# 提问	tw	30
#
# 如只加一个用户词，无需权重，如下（如想置于系统词“台湾”前，请把词条放到flypy_top文件内）：
# 
# 同文	tw
#    ================
#
# 虽然文本码表编辑较为方便，但不适合导入大量条目

#用户词库，下一行后开始添加。切换方案或部署后生效
# no comment
瘁	cvbu
clown	clown
clownish	clownish
cloying	cloying
club	club
clubbing	clubbing
clubhouse	clubhouse
clubland	clubland
cluck	cluck
clue	clue
clueless	clueless
clump	clump
clumpy	clumpy
clumsy	clumsy
clung	clung
clunk	clunk
clunker	clunker
clunky	clunky
cluster	cluster
clutch	clutch
clutter	clutter
cluttered	cluttered
cm	cm
CNN	CNN
CO	CO
coach	coach
coaching	coaching
coachload	coachload
coachman	coachman
coagulate	coagulate
coal	coal
coalesce	coalesce
coalface	coalface
coalfield	coalfield
coalition	coalition
coalman	coalman
coaming	coaming
coarse	coarse
coarsen	coarsen
coast	coast
coastal	coastal
coaster	coaster
coastguard	coastguard
coastline	coastline
coat	coat
coating	coating
coatroom	coatroom
coax	coax
coaxing	coaxing
cob	cob
cobalt	cobalt
cobber	cobber
cobble	cobble
cobbled	cobbled
cobbler	cobbler
cobbles	cobbles
cobblestones	cobblestones
cobra	cobra
cobweb	cobweb
cocaine	cocaine
coccyx	coccyx
cochineal	cochineal
cock	cock
cockamamie	cockamamie
cockatoo	cockatoo
cockerel	cockerel
cockfight	cockfight
cockle	cockle
cockney	cockney
cockpit	cockpit
cockroach	cockroach
cocksure	cocksure
cocktail	cocktail
cocky	cocky
cocoa	cocoa
coconut	coconut
cocoon	cocoon
COD	COD
cod	cod
coda	coda
coddle	coddle
code	code
coded	coded
codeine	codeine
codger	codger
codicil	codicil
codify	codify
codswallop	codswallop
coed	coed
coefficient	coefficient
coerce	coerce
coercion	coercion
coercive	coercive
coexist	coexist
coexistence	coexistence
coffee	coffee
coffer	coffer
coffin	coffin
cog	cog
cogent	cogent
cogitate	cogitate
cognac	cognac
cognate	cognate
cognition	cognition
cognitive	cognitive
cognizance	cognizance
cognoscenti	cognoscenti
cogwheel	cogwheel
cohabit	cohabit
cohere	cohere
coherence	coherence
coherent	coherent
cohesion	cohesion
cohesive	cohesive
cohort	cohort
coiffure	coiffure
coil	coil
coin	coin
coinage	coinage
coincide	coincide
coincidence	coincidence
coincident	coincident
coincidental	coincidental
coir	coir
coitus	coitus
Coke	Coke
coke	coke
col	col
cola	cola
colander	colander
cold	cold
coldly	coldly
coldness	coldness
coleslaw	coleslaw
colic	colic
colitis	colitis
collaborate	collaborate
collaboration	collaboration
collaborative	collaborative
collaborator	collaborator
collage	collage
collapse	collapse
collapsible	collapsible
collar	collar
collarbone	collarbone
collarless	collarless
collate	collate
collateral	collateral
colleague	colleague
collect	collect
collectable	collectable
collected	collected
collection	collection
collective	collective
collectivism	collectivism
collectivize	collectivize
collector	collector
colleen	colleen
college	college
collegiate	collegiate
collide	collide
collie	collie
collier	collier
colliery	colliery
collision	collision
collocate	collocate
collocation	collocation
colloquial	colloquial
colloquialism	colloquialism
colloquium	colloquium
colloquy	colloquy
collude	collude
collusion	collusion
collywobbles	collywobbles
cologne	cologne
colon	colon
colonel	colonel
colonial	colonial
colonialism	colonialism
colonic	colonic
colonist	colonist
colonize	colonize
colonnade	colonnade
colony	colony
color	color
coloration	coloration
coloratura	coloratura
colorist	colorist
colorize	colorize
colossal	colossal
colossus	colossus
colour	colour
colourant	colourant
colouration	colouration
coloured	coloured
colourful	colourful
colouring	colouring
colourist	colourist
colourize	colourize
colourless	colourless
colourway	colourway
colt	colt
columbine	columbine
column	column
columnist	columnist
coma	coma
comatose	comatose
comb	comb
combat	combat
combatant	combatant
combative	combative
combination	combination
combine	combine
combo	combo
combustible	combustible
combustion	combustion
come	come
comeback	comeback
comedian	comedian
comedienne	comedienne
comedown	comedown
comedy	comedy
comely	comely
comer	comer
comet	comet
comfort	comfort
comfortable	comfortable
comfortably	comfortably
comforter	comforter
comforting	comforting
comfortless	comfortless
comfy	comfy
comic	comic
comical	comical
coming	coming
comma	comma
command	command
commandant	commandant
commandeer	commandeer
commander	commander
commanding	commanding
commandment	commandment
commando	commando
commemorate	commemorate
commemoration	commemoration
commemorative	commemorative
commence	commence
commencement	commencement
commend	commend
commendable	commendable
commendation	commendation
commensurate	commensurate
comment	comment
commentary	commentary
commentate	commentate
commentator	commentator
commerce	commerce
commercial	commercial
commercialism	commercialism
commercialize	commercialize
commie	commie
commiserate	commiserate
commiseration	commiseration
commissary	commissary
commission	commission
commissionaire	commissionaire
commissioner	commissioner
commit	commit
commitment	commitment
committal	committal
committed	committed
committee	committee
commode	commode
commodious	commodious
commodity	commodity
commodore	commodore
common	common
commoner	commoner
commonly	commonly
commonplace	commonplace
Commons	Commons
commonwealth	commonwealth
commotion	commotion
communal	communal
commune	commune
communicable	communicable
communicant	communicant
communicate	communicate
communication	communication
communicative	communicative
communicator	communicator
communion	communion
communique	communique
communism	communism
communist	communist
community	community
commutation	commutation
commute	commute
commuter	commuter
compact	compact
companion	companion
companionable	companionable
companionship	companionship
companionway	companionway
company	company
comparable	comparable
comparative	comparative
comparatively	comparatively
compare	compare
comparison	comparison
compartment	compartment
compartmentalize	compartmentalize
compass	compass
compassion	compassion
compassionate	compassionate
compatibility	compatibility
compatible	compatible
compatriot	compatriot
compel	compel
compelling	compelling
compendium	compendium
compensate	compensate
compensation	compensation
compere	compere
compete	compete
competence	competence
competency	competency
competent	competent
competition	competition
competitive	competitive
competitor	competitor
compilation	compilation
compile	compile
compiler	compiler
complacency	complacency
complacent	complacent
complain	complain
complainant	complainant
complaint	complaint
complaisant	complaisant
complected	complected
complement	complement
complementary	complementary
complete	complete
completely	completely
completion	completion
complex	complex
complexion	complexion
complexity	complexity
compliance	compliance
compliant	compliant
complicate	complicate
complicated	complicated
complication	complication
complicity	complicity
compliment	compliment
complimentary	complimentary
comply	comply
component	component
comport	comport
compose	compose
composed	composed
composer	composer
composite	composite
composition	composition
compositor	compositor
compost	compost
composure	composure
compote	compote
compound	compound
comprehend	comprehend
comprehensible	comprehensible
comprehension	comprehension
comprehensive	comprehensive
comprehensively	comprehensively
compress	compress
compressor	compressor
comprise	comprise
compromise	compromise
compromising	compromising
comptroller	comptroller
compulsion	compulsion
compulsive	compulsive
compulsory	compulsory
compunction	compunction
computation	computation
computational	computational
compute	compute
computer	computer
computerize	computerize
computing	computing
comrade	comrade
Con	Con
con	con
concatenation	concatenation
concave	concave
concavity	concavity
conceal	conceal
concealment	concealment
concede	concede
conceit	conceit
conceited	conceited
conceivable	conceivable
conceive	conceive
concentrate	concentrate
concentrated	concentrated
concentration	concentration
concentric	concentric
concept	concept
conception	conception
conceptual	conceptual
conceptualize	conceptualize
concern	concern
concerned	concerned
concerning	concerning
concert	concert
concerted	concerted
concertina	concertina
concertmaster	concertmaster
concerto	concerto
concession	concession
concessionaire	concessionaire
concessionary	concessionary
conch	conch
conciliate	conciliate
conciliator	conciliator
conciliatory	conciliatory
concise	concise
conclave	conclave
conclude	conclude
conclusion	conclusion
conclusive	conclusive
concoct	concoct
concoction	concoction
concomitant	concomitant
concord	concord
concordance	concordance
concordat	concordat
concourse	concourse
concrete	concrete
concubine	concubine
concupiscence	concupiscence
concur	concur
concurrence	concurrence
concurrent	concurrent
concuss	concuss
concussion	concussion
condemn	condemn
condemnation	condemnation
condensation	condensation
condense	condense
condenser	condenser
condescend	condescend
condescending	condescending
condiment	condiment
condition	condition
conditional	conditional
conditioner	conditioner
conditioning	conditioning
condo	condo
condolence	condolence
condom	condom
condominium	condominium
condone	condone
condor	condor
conducive	conducive
conduct	conduct
conduction	conduction
conductive	conductive
conductor	conductor
conductress	conductress
conduit	conduit
cone	cone
confection	confection
confectioner	confectioner
confectionery	confectionery
confederacy	confederacy
confederate	confederate
confederation	confederation
confer	confer
conference	conference
conferment	conferment
confess	confess
confession	confession
confessional	confessional
confessor	confessor
confetti	confetti
confidant	confidant
confide	confide
confidence	confidence
confident	confident
confidential	confidential
confidentiality	confidentiality
confiding	confiding
configuration	configuration
configure	configure
confine	confine
confined	confined
confinement	confinement
confines	confines
confirm	confirm
confirmation	confirmation
confirmed	confirmed
confiscate	confiscate
conflagration	conflagration
conflate	conflate
conflict	conflict
confluence	confluence
conform	conform
conformation	conformation
conformist	conformist
conformity	conformity
confound	confound
confounded	confounded
confront	confront
confrontation	confrontation
confuse	confuse
confused	confused
confusing	confusing
confusion	confusion
confute	confute
conga	conga
congeal	congeal
congenial	congenial
congenital	congenital
conger	conger
congested	congested
conglomerate	conglomerate
conglomeration	conglomeration
congratulate	congratulate
congratulation	congratulation
congratulatory	congratulatory
congregate	congregate
congregation	congregation
Congregationalism	Congregationalism
congress	congress
congressional	congressional
Congressman	Congressman
congruent	congruent
conical	conical
conifer	conifer
conjecture	conjecture
conjoin	conjoin
conjugal	conjugal
conjugate	conjugate
conjugation	conjugation
conjunction	conjunction
conjunctivitis	conjunctivitis
conjure	conjure
conjuring	conjuring
conjuror	conjuror
conk	conk
conker	conker
connect	connect
connection	connection
connective	connective
connivance	connivance
connive	connive
conniving	conniving
connoisseur	connoisseur
connotation	connotation
connote	connote
conquer	conquer
conqueror	conqueror
conquest	conquest
consanguinity	consanguinity
conscience	conscience
conscientious	conscientious
conscious	conscious
consciousness	consciousness
conscript	conscript
conscription	conscription
consecrate	consecrate
consecutive	consecutive
consensual	consensual
consensus	consensus
consent	consent
consequence	consequence
consequent	consequent
consequential	consequential
consequently	consequently
conservancy	conservancy
conservation	conservation
conservationist	conservationist
conservatism	conservatism
conservative	conservative
conservatoire	conservatoire
conservatory	conservatory
conserve	conserve
consider	consider
considerable	considerable
considerably	considerably
considerate	considerate
consideration	consideration
considering	considering
consign	consign
consignment	consignment
consist	consist
consistency	consistency
consistent	consistent
consolation	consolation
consolatory	consolatory
console	console
consolidate	consolidate
consomme	consomme
consonance	consonance
consonant	consonant
consort	consort
consortium	consortium
conspicuous	conspicuous
conspiracy	conspiracy
conspirator	conspirator
conspiratorial	conspiratorial
conspire	conspire
constable	constable
constabulary	constabulary
constancy	constancy
constant	constant
constantly	constantly
constellation	constellation
consternation	consternation
constipated	constipated
constipation	constipation
constituency	constituency
constituent	constituent
constitute	constitute
constitution	constitution
constitutional	constitutional
constitutionalism	constitutionalism
constitutionality	constitutionality
constrain	constrain
constrained	constrained
constraint	constraint
constrict	constrict
construct	construct
construction	construction
constructional	constructional
constructive	constructive
constructor	constructor
construe	construe
consul	consul
consulate	consulate
consult	consult
consultancy	consultancy
consultant	consultant
consultation	consultation
consultative	consultative
consume	consume
consumer	consumer
consumerism	consumerism
consuming	consuming
consummate	consummate
consummation	consummation
consumption	consumption
consumptive	consumptive
contact	contact
contagion	contagion
contagious	contagious
contain	contain
container	container
containment	containment
contaminant	contaminant
contaminate	contaminate
contd	contd
contemplate	contemplate
contemplation	contemplation
contemplative	contemplative
contemporaneous	contemporaneous
contemporary	contemporary
contempt	contempt
contemptible	contemptible
contemptuous	contemptuous
contend	contend
contender	contender
content	content
contented	contented
contention	contention
contentious	contentious
contentment	contentment
contest	contest
contestant	contestant
context	context
contextual	contextual
contextualize	contextualize
contiguous	contiguous
continence	continence
continent	continent
continental	continental
contingency	contingency
contingent	contingent
continual	continual
continuance	continuance
continuation	continuation
continue	continue
continued	continued
continuity	continuity
continuo	continuo
continuous	continuous
continuum	continuum
contort	contort
contortion	contortion
contortionist	contortionist
contour	contour
contoured	contoured
contraband	contraband
contraception	contraception
contraceptive	contraceptive
contract	contract
contraction	contraction
contractor	contractor
contractual	contractual
contradict	contradict
contradiction	contradiction
contradictory	contradictory
contradistinction	contradistinction
contraflow	contraflow
contraindication	contraindication
contralto	contralto
contraption	contraption
contrapuntal	contrapuntal
contrariwise	contrariwise
contrary	contrary
contrast	contrast
contrasting	contrasting
contravene	contravene
contretemps	contretemps
contribute	contribute
contribution	contribution
contributor	contributor
contributory	contributory
contrite	contrite
contrivance	contrivance
contrive	contrive
contrived	contrived
control	control
controllable	controllable
controlled	controlled
controller	controller
controversial	controversial
controversy	controversy
controvert	controvert
contusion	contusion
conundrum	conundrum
conurbation	conurbation
convalesce	convalesce
convalescence	convalescence
convalescent	convalescent
convection	convection
convector	convector
convene	convene
convener	convener
convenience	convenience
convenient	convenient
convenor	convenor
convent	convent
convention	convention
conventional	conventional
conventioneer	conventioneer
converge	converge
conversant	conversant
conversation	conversation
conversational	conversational
conversationalist	conversationalist
converse	converse
conversely	conversely
conversion	conversion
convert	convert
converter	converter
convertible	convertible
convex	convex
convey	convey
conveyance	conveyance
conveyancer	conveyancer
conveyancing	conveyancing
conveyor	conveyor
convict	convict
conviction	conviction
convince	convince
convinced	convinced
convincing	convincing
convivial	convivial
convocation	convocation
convoke	convoke
convoluted	convoluted
convolution	convolution
convolvulus	convolvulus
convoy	convoy
convulse	convulse
convulsion	convulsion
convulsive	convulsive
coo	coo
cook	cook
cookbook	cookbook
cooker	cooker
cookery	cookery
cookhouse	cookhouse
cookie	cookie
cooking	cooking
cookout	cookout
cookware	cookware
cool	cool
coolant	coolant
cooler	cooler
coolie	coolie
coolly	coolly
coolness	coolness
coon	coon
coop	coop
cooper	cooper
cooperate	cooperate
cooperation	cooperation
cooperative	cooperative
coordinate	coordinate
coordination	coordination
coot	coot
cop	cop
cope	cope
copier	copier
coping	coping
copious	copious
copper	copper
copperplate	copperplate
coppery	coppery
coppice	coppice
copra	copra
copse	copse
copter	copter
copula	copula
copulate	copulate
copy	copy
copybook	copybook
copycat	copycat
copyist	copyist
copyright	copyright
copywriter	copywriter
coquetry	coquetry
coquette	coquette
cor	cor
coracle	coracle
coral	coral
corbel	corbel
cord	cord
corded	corded
cordial	cordial
cordially	cordially
cordite	cordite
cordless	cordless
cordon	cordon
corduroy	corduroy
core	core
corgi	corgi
coriander	coriander
Corinthian	Corinthian
cork	cork
corkage	corkage
corked	corked
corker	corker
corkscrew	corkscrew
corm	corm
cormorant	cormorant
corn	corn
corncrake	corncrake
cornea	cornea
cornelian	cornelian
corner	corner
cornerstone	cornerstone
cornet	cornet
cornflakes	cornflakes
cornflour	cornflour
cornflower	cornflower
cornice	cornice
cornmeal	cornmeal
cornrows	cornrows
cornstarch	cornstarch
cornucopia	cornucopia
corny	corny
corollary	corollary
corona	corona
coronary	coronary
coronation	coronation
coroner	coroner
coronet	coronet
corporal	corporal
corporate	corporate
corporation	corporation
corporatism	corporatism
corporeal	corporeal
corps	corps
corpse	corpse
corpulent	corpulent
corpus	corpus
corpuscle	corpuscle
corral	corral
correct	correct
correction	correction
correctional	correctional
corrective	corrective
correlate	correlate
correlation	correlation
correlative	correlative
correspond	correspond
correspondence	correspondence
correspondent	correspondent
corresponding	corresponding
corridor	corridor
corrie	corrie
corroborate	corroborate
corroborative	corroborative
corrode	corrode
corrosive	corrosive
corrugated	corrugated
corrupt	corrupt
corruptible	corruptible
corruption	corruption
corsage	corsage
corset	corset
cortege	cortege
cortex	cortex
cortisone	cortisone
corvette	corvette
cos	cos
cosh	cosh
cosine	cosine
cosmetic	cosmetic
cosmic	cosmic
cosmology	cosmology
cosmonaut	cosmonaut
cosmopolitan	cosmopolitan
cosmos	cosmos
cosset	cosset
cost	cost
costermonger	costermonger
costing	costing
costly	costly
costume	costume
costumed	costumed
costumier	costumier
cosy	cosy
cot	cot
coterie	coterie
coterminous	coterminous
cottage	cottage
cottager	cottager
cottaging	cottaging
cotton	cotton
cottonwood	cottonwood
couch	couch
couchette	couchette
cougar	cougar
cough	cough
coughing	coughing
could	could
coulis	coulis
council	council
councillor	councillor
councilman	councilman
councilwoman	councilwoman
counsel	counsel
counselling	counselling
counsellor	counsellor
count	count
countable	countable
countdown	countdown
countenance	countenance
counter	counter
counteract	counteract
counterbalance	counterbalance
counterclaim	counterclaim
counterclockwise	counterclockwise
counterculture	counterculture
counterfeit	counterfeit
counterfeiter	counterfeiter
counterfoil	counterfoil
countermand	countermand
countermeasure	countermeasure
counteroffensive	counteroffensive
counterpane	counterpane
counterpart	counterpart
counterpoint	counterpoint
counterproductive	counterproductive
countersign	countersign
countervailing	countervailing
counterweight	counterweight
countess	countess
countless	countless
countrified	countrified
country	country
countryman	countryman
countryside	countryside
countrywide	countrywide
countrywoman	countrywoman
county	county
countywide	countywide
coup	coup
coupe	coupe
couple	couple
couplet	couplet
coupling	coupling
coupon	coupon
courage	courage
courageous	courageous
courgette	courgette
courier	courier
course	course
coursebook	coursebook
coursework	coursework
court	court
courteous	courteous
courtesan	courtesan
courtesy	courtesy
courthouse	courthouse
courtier	courtier
courtly	courtly
courtroom	courtroom
courtship	courtship
courtyard	courtyard
couscous	couscous
cousin	cousin
couture	couture
couturier	couturier
cove	cove
coven	coven
covenant	covenant
Coventry	Coventry
cover	cover
coverage	coverage
coveralls	coveralls
covered	covered
covering	covering
coverlet	coverlet
covert	covert
covet	covet
covetous	covetous
cow	cow
coward	coward
cowardice	cowardice
cowbell	cowbell
cowboy	cowboy
cowcatcher	cowcatcher
cowed	cowed
cower	cower
cowgirl	cowgirl
cowhand	cowhand
cowhide	cowhide
cowl	cowl
cowling	cowling
cowpat	cowpat
cowpoke	cowpoke
cowrie	cowrie
cowshed	cowshed
cowslip	cowslip
cox	cox
coxswain	coxswain
coy	coy
coyote	coyote
cozy	cozy
CPI	CPI
Cpl	Cpl
CPU	CPU
crab	crab
crabbed	crabbed
crabby	crabby
crabgrass	crabgrass
crabwise	crabwise
crack	crack
crackdown	crackdown
cracked	cracked
cracker	cracker
crackerjack	crackerjack
crackers	crackers
cracking	cracking
crackle	crackle
crackling	crackling
crackpot	crackpot
cradle	cradle
craft	craft
craftsman	craftsman
craftsmanship	craftsmanship
craftsperson	craftsperson
craftswoman	craftswoman
craftwork	craftwork
crafty	crafty
crag	crag
craggy	craggy
craic	craic
cram	cram
crammed	crammed
crammer	crammer
cramp	cramp
cramped	cramped
crampon	crampon
cranberry	cranberry
crane	crane
cranium	cranium
crank	crank
crankshaft	crankshaft
cranky	cranky
cranny	cranny
crap	crap
crappy	crappy
craps	craps
crash	crash
crass	crass
crate	crate
crater	crater
cravat	cravat
crave	crave
craven	craven
craving	craving
craw	craw
crawfish	crawfish
crawl	crawl
crawler	crawler
crayfish	crayfish
crayon	crayon
craze	craze
crazed	crazed
crazy	crazy
creak	creak
creaky	creaky
cream	cream
creamer	creamer
creamery	creamery
creamy	creamy
crease	crease
create	create
creation	creation
creative	creative
creator	creator
creature	creature
creche	creche
cred	cred
credence	credence
credential	credential
credentials	credentials
credibility	credibility
credible	credible
credit	credit
creditable	creditable
creditor	creditor
creditworthy	creditworthy
credo	credo
credulity	credulity
credulous	credulous
creed	creed
creek	creek
creel	creel
creep	creep
creeper	creeper
creeping	creeping
creepy	creepy
cremate	cremate
cremation	cremation
crematorium	crematorium
crenellated	crenellated
Creole	Creole
creosote	creosote
crepe	crepe
crept	crept
crescendo	crescendo
crescent	crescent
cress	cress
crest	crest
crested	crested
crestfallen	crestfallen
cretin	cretin
crevasse	crevasse
crevice	crevice
crew	crew
crewman	crewman
crib	crib
cribbage	cribbage
crick	crick
cricket	cricket
cricketer	cricketer
cricketing	cricketing
cried	cried
crier	crier
crikey	crikey
crime	crime
criminal	criminal
criminality	criminality
criminalize	criminalize
criminally	criminally
criminology	criminology
crimp	crimp
crimson	crimson
cringe	cringe
crinkle	crinkle
crinkly	crinkly
crinoline	crinoline
cripple	cripple
crisis	crisis
crisp	crisp
crispbread	crispbread
crispy	crispy
criterion	criterion
critic	critic
critical	critical
criticism	criticism
criticize	criticize
critique	critique
critter	critter
croak	croak
crochet	crochet
crock	crock
crocked	crocked
crockery	crockery
crocodile	crocodile
crocus	crocus
croft	croft
crofter	crofter
croissant	croissant
crone	crone
crony	crony
cronyism	cronyism
crook	crook
crooked	crooked
croon	croon
crooner	crooner
crop	crop
cropper	cropper
croquet	croquet
croquette	croquette
crosier	crosier
cross	cross
crossbar	crossbar
crossbones	crossbones
crossbow	crossbow
crossfire	crossfire
crossing	crossing
crossover	crossover
crosspiece	crosspiece
crossroads	crossroads
crosstown	crosstown
crosswalk	crosswalk
crosswind	crosswind
crosswise	crosswise
crossword	crossword
crotch	crotch
crotchet	crotchet
crotchety	crotchety
crouch	crouch
croup	croup
croupier	croupier
crouton	crouton
crow	crow
crowbar	crowbar
crowd	crowd
crowded	crowded
crown	crown
crowning	crowning
crozier	crozier
crucial	crucial
crucible	crucible
crucifix	crucifix
crucifixion	crucifixion
cruciform	cruciform
crucify	crucify
crud	crud
crude	crude
crudites	crudites
crudity	crudity
cruel	cruel
cruelty	cruelty
cruet	cruet
cruise	cruise
cruiser	cruiser
crumb	crumb
crumble	crumble
crumbly	crumbly
crumbs	crumbs
crummy	crummy
crumpet	crumpet
crumple	crumple
crunch	crunch
crunchy	crunchy
crusade	crusade
crusader	crusader
crush	crush
crusher	crusher
crushing	crushing
crust	crust
crustacean	crustacean
crusted	crusted
crusty	crusty
crutch	crutch
crux	crux
cry	cry
crybaby	crybaby
crying	crying
cryogenic	cryogenic
cryogenics	cryogenics
cryonics	cryonics
crypt	crypt
cryptic	cryptic
cryptography	cryptography
crystal	crystal
crystalline	crystalline
crystallize	crystallize
crystallized	crystallized
CST	CST
CSYS	CSYS
Ct	Ct
ct	ct
cub	cub
cubbyhole	cubbyhole
cube	cube
cubic	cubic
cubicle	cubicle
cubism	cubism
cuboid	cuboid
cuckold	cuckold
cuckoo	cuckoo
cucumber	cucumber
cud	cud
cuddle	cuddle
cuddly	cuddly
cudgel	cudgel
cue	cue
cuff	cuff
cufflink	cufflink
cuffs	cuffs
cuisine	cuisine
culinary	culinary
cull	cull
culminate	culminate
culmination	culmination
culottes	culottes
culpable	culpable
culprit	culprit
cult	cult
cultivable	cultivable
cultivate	cultivate
cultivated	cultivated
cultivation	cultivation
cultivator	cultivator
cultural	cultural
culture	culture
cultured	cultured
culvert	culvert
cum	cum
cumbersome	cumbersome
cumin	cumin
cummerbund	cummerbund
cumulative	cumulative
cumulus	cumulus
cuneiform	cuneiform
cunnilingus	cunnilingus
cunning	cunning
cunt	cunt
cup	cup
cupboard	cupboard
cupcake	cupcake
cupful	cupful
Cupid	Cupid
cupidity	cupidity
cupola	cupola
cuppa	cuppa
cur	cur
curable	curable
curacy	curacy
curate	curate
curative	curative
curator	curator
curb	curb
curbside	curbside
curd	curd
curdle	curdle
cure	cure
curfew	curfew
curio	curio
curiosity	curiosity
curious	curious
curl	curl
curler	curler
curlew	curlew
curling	curling
curly	curly
curmudgeon	curmudgeon
currant	currant
currency	currency
current	current
currently	currently
curricular	curricular
curriculum	curriculum
curried	curried
curry	curry
curse	curse
cursed	cursed
cursive	cursive
cursor	cursor
cursory	cursory
curt	curt
curtail	curtail
curtain	curtain
curtsy	curtsy
curvaceous	curvaceous
curvature	curvature
curve	curve
curved	curved
curvy	curvy
cushion	cushion
cushy	cushy
cusp	cusp
cuss	cuss
cussed	cussed
custard	custard
custodial	custodial
custodian	custodian
custody	custody
custom	custom
customary	customary
customer	customer
customize	customize
customs	customs
cut	cut
cutback	cutback
cute	cute
cutesy	cutesy
cuticle	cuticle
cutie	cutie
cutlass	cutlass
cutlery	cutlery
cutlet	cutlet
cutter	cutter
cutthroat	cutthroat
cutting	cutting
cuttlefish	cuttlefish
cutup	cutup
CV	CV
cyan	cyan
cyanide	cyanide
cybercafe	cybercafe
cybernetics	cybernetics
cyberpunk	cyberpunk
cyberspace	cyberspace
cyborg	cyborg
cyclamen	cyclamen
cycle	cycle
cyclic	cyclic
cycling	cycling
cyclist	cyclist
cyclone	cyclone
cygnet	cygnet
cylinder	cylinder
cylindrical	cylindrical
cymbal	cymbal
cynic	cynic
cynical	cynical
cypher	cypher
cypress	cypress
cyst	cyst
cystitis	cystitis
czar	czar
czarina	czarina
czarism	czarism
D	D
d	d
DA	DA
dab	dab
dabble	dabble
dacha	dacha
dachshund	dachshund
dad	dad
daddy	daddy
dado	dado
daemon	daemon
daffodil	daffodil
daft	daft
dagger	dagger
dago	dago
dahlia	dahlia
daily	daily
dainty	dainty
daiquiri	daiquiri
dairy	dairy
dairymaid	dairymaid
dairyman	dairyman
dais	dais
daisy	daisy
dale	dale
dalliance	dalliance
dally	dally
Dalmatian	Dalmatian
dam	dam
damage	damage
damaging	damaging
damask	damask
dame	dame
damn	damn
damnable	damnable
damnation	damnation
damned	damned
damnedest	damnedest
damning	damning
Damocles	Damocles
damp	damp
dampen	dampen
damper	damper
dampness	dampness
damsel	damsel
damson	damson
dance	dance
dancer	dancer
dancing	dancing
dandelion	dandelion
dandified	dandified
dandle	dandle
dandruff	dandruff
dandy	dandy
dang	dang
danger	danger
dangerous	dangerous
dangle	dangle
dank	dank
dapper	dapper
dappled	dappled
dare	dare
daredevil	daredevil
daring	daring
dark	dark
darken	darken
darkly	darkly
darkness	darkness
darkroom	darkroom
darling	darling
darn	darn
darned	darned
darning	darning
dart	dart
dartboard	dartboard
dash	dash
dashboard	dashboard
dashing	dashing
dastardly	dastardly
DAT	DAT
data	data
databank	databank
database	database
datable	datable
date	date
datebook	datebook
dated	dated
dative	dative
datum	datum
daub	daub
daughter	daughter
daunt	daunt
dauntless	dauntless
dawdle	dawdle
dawn	dawn
day	day
daybreak	daybreak
daydream	daydream
daylight	daylight
daylights	daylights
daylong	daylong
daytime	daytime
daze	daze
dazed	dazed
dazzle	dazzle
dba	dba
DC	DC
DDT	DDT
deacon	deacon
deaconess	deaconess
dead	dead
deadbeat	deadbeat
deadbolt	deadbolt
deaden	deaden
deadhead	deadhead
deadline	deadline
deadlock	deadlock
deadly	deadly
deadpan	deadpan
deadweight	deadweight
deaf	deaf
deafen	deafen
deafening	deafening
deal	deal
dealer	dealer
dealership	dealership
dealing	dealing
dealt	dealt
dean	dean
deanery	deanery
dear	dear
dearest	dearest
dearie	dearie
dearly	dearly
dearth	dearth
death	death
deathbed	deathbed
deathless	deathless
deathly	deathly
deb	deb
debacle	debacle
debar	debar
debase	debase
debatable	debatable
debate	debate
debater	debater
debauched	debauched
debauchery	debauchery
debenture	debenture
debilitate	debilitate
debility	debility
debit	debit
debonair	debonair
debrief	debrief
debris	debris
debt	debt
debtor	debtor
debug	debug
debunk	debunk
debut	debut
debutante	debutante
decade	decade
decadence	decadence
decadent	decadent
decaffeinated	decaffeinated
decal	decal
decamp	decamp
decant	decant
decanter	decanter
decapitate	decapitate
decathlete	decathlete
decathlon	decathlon
decay	decay
decease	decease
deceased	deceased
deceit	deceit
deceitful	deceitful
deceive	deceive
decelerate	decelerate
December	December
decency	decency
decent	decent
decentralize	decentralize
deception	deception
deceptive	deceptive
decibel	decibel
decide	decide
decided	decided
decidedly	decidedly
decider	decider
deciduous	deciduous
decilitre	decilitre
decimal	decimal
decimate	decimate
decimetre	decimetre
decipher	decipher
decision	decision
decisive	decisive
decisiveness	decisiveness
deck	deck
deckchair	deckchair
deckhand	deckhand
declaim	declaim
declamation	declamation
declamatory	declamatory
declaration	declaration
declare	declare
declared	declared
declassify	declassify
decline	decline
decode	decode
decoder	decoder
decolletage	decolletage
decolonization	decolonization
decommission	decommission
decompose	decompose
decompress	decompress
decompression	decompression
decongestant	decongestant
deconstruct	deconstruct
deconstruction	deconstruction
decontaminate	decontaminate
decontrol	decontrol
decor	decor
decorate	decorate
decoration	decoration
decorative	decorative
